"s003","country.territory","Category"
8,"Albania","African-Islamic"
12,"Algeria","African-Islamic"
20,"Andorra","Catholic Europe"
31,"Azerbaijan","African-Islamic"
32,"Argentina","Latin America"
36,"Australia","English-Speaking"
40,"Austria","Catholic Europe"
50,"Bangladesh","African-Islamic"
51,"Armenia","Orthodox Europe"
56,"Belgium","Catholic Europe"
68,"Bolivia","Latin America"
70,"Bosnia Herzegovina","Orthodox Europe"
76,"Brazil","Latin America"
100,"Bulgaria","Orthodox Europe"
104,"Myanmar","West & South Asia"
112,"Belarus","Orthodox Europe"
124,"Canada","English-Speaking"
152,"Chile","Latin America"
156,"China","Confucian"
158,"Taiwan ROC","Confucian"
170,"Colombia","Latin America"
191,"Croatia","Catholic Europe"
196,"Cyprus","West & South Asia"
197,"Northern Cyprus","West & South Asia"
203,"Czechia","Catholic Europe"
208,"Denmark","Protestant Europe"
218,"Ecuador","Latin America"
231,"Ethiopia","African-Islamic"
233,"Estonia","Orthodox Europe"
246,"Finland","Protestant Europe"
250,"France","Catholic Europe"
268,"Georgia","Orthodox Europe"
275,"Palestine","African-Islamic"
276,"Germany","Protestant Europe"
288,"Ghana","African-Islamic"
300,"Greece","Orthodox Europe"
320,"Guatemala","Latin America"
332,"Haiti","Latin America"
344,"Hong Kong SAR","Confucian"
348,"Hungary","Catholic Europe"
352,"Iceland","Protestant Europe"
356,"India","West & South Asia"
360,"Indonesia","West & South Asia"
364,"Iran","African-Islamic"
368,"Iraq","African-Islamic"
372,"Ireland","English-Speaking"
380,"Italy","Catholic Europe"
392,"Japan","Confucian"
398,"Kazakhstan","African-Islamic"
400,"Jordan","African-Islamic"
404,"Kenya","African-Islamic"
410,"South Korea","Confucian"
417,"Kyrgyzstan","African-Islamic"
422,"Lebanon","African-Islamic"
428,"Latvia","Catholic Europe"
434,"Libya","African-Islamic"
440,"Lithuania","Catholic Europe"
442,"Luxembourg","Catholic Europe"
446,"Macau SAR","Confucian"
458,"Malaysia","West & South Asia"
462,"Maldives","African-Islamic"
466,"Mali","African-Islamic"
470,"Malta","Latin America"
484,"Mexico","Latin America"
496,"Mongolia","Confucian"
498,"Moldova","Orthodox Europe"
499,"Montenegro","Orthodox Europe"
504,"Morocco","African-Islamic"
528,"Netherlands","Protestant Europe"
554,"New Zealand","English-Speaking"
558,"Nicaragua","Latin America"
566,"Nigeria","African-Islamic"
578,"Norway","Protestant Europe"
586,"Pakistan","African-Islamic"
604,"Peru","Latin America"
608,"Philippines","Latin America"
616,"Poland","Catholic Europe"
620,"Portugal","Catholic Europe"
630,"Puerto Rico","Latin America"
642,"Romania","Orthodox Europe"
643,"Russia","Orthodox Europe"
646,"Rwanda","African-Islamic"
688,"Serbia","Orthodox Europe"
702,"Singapore","West & South Asia"
703,"Slovakia","Catholic Europe"
704,"Vietnam","West & South Asia"
705,"Slovenia","Catholic Europe"
710,"South Africa","African-Islamic"
716,"Zimbabwe","African-Islamic"
724,"Spain","Catholic Europe"
752,"Sweden","Protestant Europe"
756,"Switzerland","Protestant Europe"
764,"Thailand","West & South Asia"
780,"Trinidad and Tobago","Latin America"
788,"Tunisia","African-Islamic"
792,"Turkey","African-Islamic"
804,"Ukraine","Orthodox Europe"
807,"North Macedonia","Orthodox Europe"
826,"Great Britain","English-Speaking"
840,"United States","English-Speaking"
854,"Burkina Faso","African-Islamic"
858,"Uruguay","Latin America"
862,"Venezuela","Latin America"
887,"Yemen","African-Islamic"
894,"Zambia","African-Islamic"
909,"North Ireland","English-Speaking"
915,"Kosovo","African-Islamic"
